landmark_checklist: 5 seeds x 15000 steps x 100-eval, coef=0.05

[baseline] starting seed=1000 (15000 steps)...
  [seed=1001] step=7600/15000 avg_step=17.8ms elapsed=135s eta=132s eval(20)=0.550
  [seed=1001] step=7800/15000 avg_step=17.8ms elapsed=139s eta=128s eval(20)=0.600
  [seed=1001] step=8000/15000 avg_step=17.8ms elapsed=142s eta=125s eval(20)=0.550
  [seed=1001] step=8200/15000 avg_step=17.8ms elapsed=146s eta=121s eval(20)=0.600
  [seed=1001] step=8400/15000 avg_step=17.8ms elapsed=150s eta=118s eval(20)=0.600
  [seed=1001] step=8600/15000 avg_step=17.9ms elapsed=154s eta=114s eval(20)=0.600
  [seed=1001] step=8800/15000 avg_step=17.9ms elapsed=157s eta=111s eval(20)=0.600
  [seed=1001] step=9000/15000 avg_step=17.9ms elapsed=161s eta=107s eval(20)=0.500
  [seed=1001] step=9200/15000 avg_step=17.9ms elapsed=165s eta=104s eval(20)=0.500
  [seed=1001] step=9400/15000 avg_step=17.9ms elapsed=168s eta=100s eval(20)=0.500
  [seed=1001] step=9600/15000 avg_step=17.9ms elapsed=172s eta=97s eval(20)=0.500
  [seed=1001] step=9800/15000 avg_step=17.9ms elapsed=176s eta=93s eval(20)=0.450
  [seed=1001] step=10000/15000 avg_step=18.0ms elapsed=180s eta=90s eval(20)=0.450
  [seed=1001] step=10200/15000 avg_step=18.0ms elapsed=183s eta=86s eval(20)=0.450
  [seed=1001] step=10400/15000 avg_step=18.0ms elapsed=187s eta=83s eval(20)=0.450
  [seed=1001] step=10600/15000 avg_step=18.0ms elapsed=191s eta=79s eval(20)=0.450
  [seed=1001] step=10800/15000 avg_step=18.0ms elapsed=195s eta=76s eval(20)=0.450
  [seed=1001] step=11000/15000 avg_step=18.0ms elapsed=198s eta=72s eval(20)=0.400
  [seed=1001] step=11200/15000 avg_step=18.0ms elapsed=202s eta=69s eval(20)=0.400
  [seed=1001] step=11400/15000 avg_step=18.0ms elapsed=206s eta=65s eval(20)=0.400
  [seed=1001] step=11600/15000 avg_step=18.1ms elapsed=209s eta=61s eval(20)=0.400
  [seed=1001] step=11800/15000 avg_step=18.1ms elapsed=213s eta=58s eval(20)=0.400
  [seed=1001] step=12000/15000 avg_step=18.1ms elapsed=217s eta=54s eval(20)=0.400
  [seed=1001] step=12200/15000 avg_step=18.1ms elapsed=221s eta=51s eval(20)=0.350
  [seed=1001] step=12400/15000 avg_step=18.1ms elapsed=224s eta=47s eval(20)=0.350
  [seed=1001] step=12600/15000 avg_step=18.1ms elapsed=228s eta=43s eval(20)=0.350
  [seed=1001] step=12800/15000 avg_step=18.1ms elapsed=232s eta=40s eval(20)=0.350
  [seed=1001] step=13000/15000 avg_step=18.1ms elapsed=236s eta=36s eval(20)=0.350
  [seed=1001] step=13200/15000 avg_step=18.1ms elapsed=239s eta=33s eval(20)=0.300
  [seed=1001] step=13400/15000 avg_step=18.1ms elapsed=243s eta=29s eval(20)=0.300
